Date,Open,High,Low,Close,Volume,Adj Close
2005-11-04,25.45,25.48,25.4,25.4,797000,15.1573
2005-11-07,25.48,25.48,25.4,25.4,13200,15.1573
2005-11-08,25.4,25.41,25.4,25.41,26500,15.1633
2005-11-09,25.4,25.41,25.4,25.41,210000,15.1633
2005-11-10,25.43,25.475,25.42,25.46,700000,15.1931
2005-11-11,25.5,25.5,25.5,25.5,1900,15.217
2005-11-14,25.55,25.55,25.55,25.55,2000,15.2468
2005-11-15,25.37,25.57,25.35,25.55,196400,15.2468
2005-11-16,25.55,25.55,25.55,25.55,800,15.2468
2005-11-17,25.54,25.54,25.54,25.54,300,15.2409
2005-11-18,25.43,25.43,25.43,25.43,5000,15.1752
2005-11-21,25.55,25.55,25.41,25.41,2500,15.1633
2005-11-22,25.55,25.55,25.55,25.55,3000,15.2468
2005-11-23,25.55,25.55,25.55,25.55,7400,15.2468
2005-11-25,25.55,25.55,25.55,25.55,0,15.2468
2005-11-28,25.57,25.57,25.57,25.57,100,15.2588
2005-11-29,25.52,25.75,25.52,25.65,564000,15.3065
2005-11-30,25.75,25.75,25.53,25.7,32400,15.3363
2005-12-01,25.7,25.7,25.7,25.7,0,15.3363
2005-12-02,25.74,25.75,25.74,25.75,2700,15.3662
2005-12-05,25.55,25.55,25.55,25.55,3900,15.2468
2005-12-06,25.63,25.67,25.625,25.67,261200,15.3184
2005-12-07,25.63,25.77,25.63,25.77,1400,15.3781
2005-12-08,26.0,26.0,25.8,25.8,1300,15.395999999999999
2005-12-09,25.6,25.75,25.6,25.75,2600,15.3662
2005-12-12,25.75,25.75,25.75,25.75,0,15.3662
2005-12-13,25.72,25.75,25.72,25.75,400000,15.3662
2005-12-14,25.75,25.75,25.75,25.75,0,15.3662
2005-12-15,25.73,25.8,25.73,25.8,131400,15.395999999999999
2005-12-16,25.8,25.8,25.8,25.8,0,15.395999999999999
2005-12-19,25.7,25.7,25.7,25.7,10000,15.3363
2005-12-20,25.75,25.75,25.75,25.75,1000,15.3662
2005-12-21,25.75,25.75,25.75,25.75,4000,15.3662
2005-12-22,25.75,25.75,25.75,25.75,4000,15.3662
2005-12-23,25.75,25.75,25.75,25.75,2000,15.3662
2005-12-27,25.75,25.75,25.75,25.75,0,15.3662
2005-12-28,25.75,25.75,25.62,25.62,4000,15.2886
2005-12-29,25.65,25.65,25.65,25.65,2000,15.3065
2005-12-30,25.65,25.65,25.65,25.65,0,15.3065
